symbol,asset_type,source,score,signal,confidence,strategy,price,return_5_pct,return_20_pct,atr_pct,rsi_14,avg_dollar_volume,volume_ratio,last_bar,reason,rank,asset_label,selected
CIEN,stock,screener:growth_technology_stocks,60.95,hold,0.0,ensemble,439.66500854,6.6139,17.4288,7.4159,55.07,891891488.2,0.1045,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",26,Aktie,True
CRWV,stock,screener:most_actives,60.87,hold,0.0,ensemble,107.69499969,18.7769,47.1042,8.3339,63.78,3311763613.41,0.1741,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",27,Aktie,True
PYPL,stock,fallback_stocks,60.84,hold,0.0,ensemble,60.06000137,1.676,6.1881,2.3004,70.86,709687318.55,0.0861,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",28,Aktie,True
INFQ,stock,screener:day_gainers,60.62,hold,0.0,ensemble,12.73040009,6.8883,40.0484,6.6489,58.5,117235619.09,0.1582,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",29,Aktie,True
SONY,stock,fallback_stocks,60.51,hold,0.0,ensemble,24.34000015,3.7511,15.2462,2.5267,69.88,130622313.4,0.1464,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",30,Aktie,True
FORM,stock,screener:growth_technology_stocks,60.17,hold,0.0,ensemble,132.03500366,12.4755,25.0687,7.603,59.7,173992314.72,0.0485,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",31,Aktie,True
LUNR,stock,screener:day_gainers,59.61,hold,0.0,ensemble,19.59000015,19.4512,44.8964,7.7489,62.81,191131956.13,0.4593,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",32,Aktie,True
IREN,stock,screener:most_actives,59.34,hold,0.0,ensemble,46.22000122,12.1028,37.4777,9.1023,56.74,2208566966.17,0.1267,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",33,Aktie,True
LRCX,stock,screener:growth_technology_stocks,59.27,hold,0.0,ensemble,339.45999146,9.0284,8.3498,6.6648,56.12,3499814384.74,0.0559,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",34,Aktie,True
AAOI,stock,screener:day_gainers,57.92,hold,0.0,ensemble,143.07009888,5.4856,39.7032,11.4596,57.76,1617851435.78,0.2,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",35,Aktie,True
STX,stock,screener:day_gainers,57.9,hold,0.0,ensemble,964.80499268,18.7072,22.49,7.8108,61.12,5088577000.86,0.0848,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",36,Aktie,True
XOM,stock,fallback_stocks,57.85,hold,0.0,ensemble,160.30169678,4.745,8.7824,2.432,65.84,2158346104.33,0.0343,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",37,Aktie,False
